Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Time,,,,,
2010-01-04,85.27920532226562,85.3243526269112,83.90968158491715,84.55681974288503,118944600
2010-01-05,85.50494384765625,85.54257042722244,84.9180059488875,85.22652782650235,111579900
2010-01-06,85.56517791748047,85.77587306795195,85.354482767009,85.42220374779814,116074400
2010-01-07,85.92634582519531,86.03169336625015,85.16633364386222,85.40712884356047,131091100
2010-01-08,86.21231842041016,86.24994501578084,85.52755916456051,85.70062772483587,126402800
2010-01-11,86.33267974853516,86.63366941083927,85.96395765249594,86.59604857355617,106375700
2010-01-12,85.52753448486328,85.94139820945486,85.19643891238142,85.7608032340151,163333500
2010-01-13,86.24993133544922,86.49072658099615,85.30932401049846,85.74576144610687,161822000
2010-01-14,86.4831771850586,86.6411984848317,86.09940789074675,86.15208165733779,115718800
2010-01-15,85.51245880126953,86.41543917921167,85.18136331688645,86.33267104912512,212283100
2010-01-19,86.58101654052734,86.63369031824337,85.47486146747967,85.49744086451041,139172700
2010-01-20,85.70059204101562,86.12198217685024,85.01583307028437,85.9940609914733,216490200
2010-01-21,84.05265808105469,85.98654627728774,83.94731053270041,85.72317740640209,344859600
2010-01-22,82.17896270751953,84.08275061226156,82.08866235664657,83.67640764484864,345942400
2010-01-25,82.600341796875,83.08193786266743,82.32945226256795,82.93143729804183,186937500
2010-01-26,82.25419616699219,83.12708218756343,82.05102758827816,82.27676981562604,211168800
2010-01-27,82.64551544189453,82.83363688882172,81.5167867603314,82.1488720663215,271863600
2010-01-28,81.69737243652344,82.96154864552422,81.20073485852865,82.9164013405275,316104000
2010-01-29,80.80943298339844,82.62292614411955,80.68151180154943,82.05103544625187,310677600
2010-02-01,82.06607818603516,82.07360464956251,80.89220248018988,81.38131927129527,187865000
2010-02-02,83.05934143066406,83.21736268534208,81.93061326209964,82.21656140571464,216327900
2010-02-03,82.64551544189453,83.1346323521074,82.40472021946816,82.68313628667339,172730700
2010-02-04,80.09455108642578,82.04348559639098,80.07949816284612,82.00586476945828,356715700
2010-02-05,80.26012420654297,80.42566623126487,78.69495263727187,80.18487104683932,493585800
2010-02-08,79.68072509765625,80.7643065438269,79.62052485264425,80.32033691312758,224166900
2010-02-09,80.68150329589844,81.38131510183915,79.96663856367424,80.61377660964132,337820500
2010-02-10,80.52348327636719,80.96744701152133,79.84624510824199,80.55358338839602,240511500
